rank,name,team,ev50
1,Judge Aaron,NYY,106.8
2,Ohtani Shohei,LAA,106.1
3,Alonso Pete,NYM,105.1
4,Schwarber Kyle,PHI,105.7
5,Stowers Kyle,BAL,103.1
6,Soto Juan,NYY,104.5
7,Raleigh Cal,SEA,103
8,Adell Jo,LAA,104.2
9,Buxton Byron,MIN,103.6
10,Busch Michael,CHC,101.7
11,Perez Salvador,KCR,102.1
12,Springer George,TOR,102.4
13,Rice Ben,NYY,104.1
14,Suzuki Seiya,CHC,102.9
15,Greene Riley,DET,102.6
16,Caminero Junior,TBR,104.5
17,Kurtz Nick,WSN,104
18,Seager Corey,TEX,103.9
19,Cruz Oneil,PIT,107.3
20,Moniak Mickey,LAA,101.4
21,Riley Austin,ATL,104.2
22,Burger Jake,MIA,103.2
23,Marte Ketel,ARI,102.7
24,Machado Manny,SDP,103.4
25,Rooker Brent,OAK,101.3
26,Carroll Corbin,ARI,103.7
27,Witt Jr. Bobby,KCR,103.9
28,Devers Rafael,BOS,104
29,Laureano Ramón,CLE,102.2
30,Crow-Armstrong Pete,CHC,100.7
31,Merrill Jackson,SDP,100.7
32,Guerrero Jr. Vladimir,TOR,104.8
33,Olson Matt,ATL,103.8
34,Wood James,WSN,106.4
35,Neto Zach,LAA,101.8
36,Chisholm Jr. Jazz,MIA,100.9
37,Acuña Jr. Ronald,ATL,105
38,Vaughn Andrew,CHW,101.7
39,Grisham Trent,NYY,101.2
40,Carpenter Kerry,DET,101.2
41,Gonzalez Romy,BOS,104.2
42,Suárez Eugenio,ARI,101.5
43,Contreras Willson,STL,103.2
44,Goodman Hunter,COL,102.6
45,Bell Josh,MIA,102.5
46,Baty Brett,NYM,102.7
47,Lowe Brandon,TBR,102
48,Ward Taylor,LAA,100.9
49,Langford Wyatt,TEX,102.4
50,O'Hoppe Logan,LAA,101.7
51,Walker Christian,ARI,102.5
52,Torkelson Spencer,DET,100.8
53,Baldwin Drake,ATL,102.2
54,Pasquantino Vinnie,KCR,101.3
55,Abreu Wilyer,BOS,102.4
56,Muncy Max,LAD,101.9
57,Harper Bryce,PHI,102.8
58,Hernández Teoscar,LAD,101.8
59,Benintendi Andrew,CHW,98.3
60,Trout Mike,LAA,103.4
61,Aranda Jonathan,TBR,102.7
62,Ramírez Agustín,CHC,103.9
63,Langeliers Shea,OAK,102.5
64,García Adolis,TEX,101.9
65,Kepler Max,MIN,100.6
66,Clemens Kody,PHI,102.2
67,Westburg Jordan,BAL,101.3
68,Kirk Alejandro,TOR,102.2
69,Wallner Matt,MIN,102.8
70,Stephenson Tyler,CIN,100.9
71,Swanson Dansby,CHC,101.2
72,Polanco Jorge,MIN,101.5
73,Barger Addison,TOR,103.7
74,Vientos Mark,NYM,101.9
75,Smith Will,LAD,101.3
76,Mountcastle Ryan,BAL,101.7
77,Cowser Colton,BAL,101.6
